,Kasus harian,Kasus Impor,Kasus Lokal,Total kasus,Kasus aktif,% kasus aktif,"Sembuh
(baru)",Sembuh,Tingkat kesembuhan (seluruh kasus),Tingkat kesembuhan (closed cases),"Meninggal
(baru)","Meninggal
Dunia",Tingkat kematian (seluruh kasus),Tingkat kematian (closed cases),PDP,ODP,Suspek aktif,Jumlah spesimen diperiksa (dari 1 April),Jumlah orang diperiksa,Negatif,"Positif 
(=C)",Dalam Proses,Spesimen,Spesimen (PCR-TCM),Spesimen (Antigen),Orang yang dites,Orang yang dites (PCR-TCM),Orang yang dites (Antigen),Vaksinasi (ineligible),Jumlah test/juta penduduk,Test/Positif,Jumlah org yg dites / positif,Jumlah Test/Positif harian,Positif / Jumlah Tes,Positive rate harian,Case Growth Rate,Tingkat positivitas mingguan,Jumlah spesimen diperiksa (rata-rata 7 hari),Jumlah orang diperiksa (rata-rata 7 hari),Rasio spesimen/orang diperiksa (rata-rata 7 hari),,Dosis pertama,Dosis kedua,Dosis ketiga,Dosis pertama (%),Dosis kedua (%),Dosis pertama (harian),Dosis kedua (harian),Dosis harian,Dosis pertama (mingguan),Dosis kedua (mingguan),Rata2 dosis harian (mingguan),Dosis pertama (SDM kesehatan),Dosis kedua (SDM kesehatan),Dosis ketiga (SDM kesehatan),Dosis pertama (SDM kesehatan) %,Dosis kedua (SDM kesehatan) %,Dosis pertama (petugas publik),Dosis kedua (petugas publik),Dosis pertama (petugas publik) %,Dosis kedua (petugas publik) %,Dosis pertama (lansia),Dosis kedua (lansia),Dosis pertama (lansia) %,Dosis kedua (lansia) %,Dosis pertama (warga umum),Dosis kedua (warga umum),Dosis pertama (remaja),Dosis kedua (remaja),Dosis pertama (Vakgor),Dosis kedua (Vakgor),Test PCR Orang Nasional Rata-rata 7 hari,Pos Rate Nasional - rata-rata 7 hari,Test Orang DKI,Positif DKI,,Pos Rate DKI,Pos Rate DKI - 7 harian,NON DKI,Positif Non DKI,,Pos Rate Non DKI,Pos Rate Non DKI - 7 harian,CFR
4/11/2020,399,,,"4,241",3509,82.74%,73,359,8.46%,49.04%,46,373,8.80%,50.96%,,,,"27,075","27,075","22,834","4,241",0,,,,"7,111",,,,100,6.38,6.38,17.82,15.66%,5.61%,10.39%,12.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.80%
4/12/2020,316,,,"4,557",3778,82.91%,21,380,8.34%,48.78%,26,399,8.76%,51.22%,,,,"27,953","27,953","23,396","4,557",0,,,,878,,,,104,6.13,6.13,2.78,16.30%,35.99%,7.45%,13.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.82%
4/13/2020,282,,,"4,839",3954,81.71%,46,426,8.80%,48.14%,60,459,9.49%,51.86%,"10,482","139,137",,"31,628","31,628","26,789","4,839",0,,,,"3,675",,,,117,6.54,6.54,13.03,15.30%,7.67%,6.19%,12.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.62%
4/14/2020,297,,,"5,136",4221,82.18%,20,446,8.68%,48.74%,10,469,9.13%,51.26%,"11,165","165,549",,"36,431","33,001","27,865","5,136",0,,,,"1,373",,,,122,7.09,6.43,4.62,15.56%,21.63%,6.14%,13.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.96%
4/15/2020,380,,,"5,516",4472,81.07%,102,548,9.93%,52.49%,27,496,8.99%,47.51%,"11,873","169,446",,"39,706","34,975","29,459","5,516",0,"3,275",,,"1,974",,,,130,7.2,6.34,5.19,15.77%,19.25%,7.40%,12.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.77%
4/16/2020,407,,,"5,923",4796,80.97%,59,607,10.25%,53.86%,24,520,8.78%,46.14%,"12,610","173,732",,"42,108","37,134","31,211","5,923",0,"2,402",,,"2,159",,,,138,7.11,6.27,5.3,15.95%,18.85%,7.38%,13.64%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.67%
4/17/2020,325,,,"6,248",5082,81.34%,24,631,10.10%,54.12%,15,535,8.56%,45.88%,"12,979","176,344",,"45,378","39,422","33,174","6,248",0,"3,270",,,"2,288",,,,146,7.26,6.31,7.04,15.85%,14.20%,5.49%,12.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.52%
4/18/2020,327,,,"6,575",5307,80.71%,55,686,10.43%,54.10%,47,582,8.85%,45.90%,"15,646","178,883",,"47,478","42,219","35,644","6,575",0,"2,100",,,"2,797",,,,156,7.22,6.42,8.55,15.57%,11.69%,5.23%,15.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.56%
4/19/2020,185,,,"6,760",5423,80.22%,61,747,11.05%,55.87%,8,590,8.73%,44.13%,"16,343","181,770",,"49,767","43,749","36,989","6,760",0,"2,289",,,"1,530",,,,162,7.36,6.47,8.27,15.45%,12.09%,2.81%,13.95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.65%
4/20/2020,375,,,"7,135",5677,79.57%,95,842,11.80%,57.75%,26,616,8.63%,42.25%,"16,763","186,330",,"50,370","46,173","39,038","7,135",0,603,,,"2,424",,,,171,7.06,6.47,6.46,15.45%,15.47%,5.55%,15.79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.91%
